,WinXwin,Comp,Talk,Vehicle,Avg. Rank
Local Reachability Average All-Pairs Similarity (excl source) (With Sparsity) Cross-Label Deviation Minimization,113.502 (19),110.359 (19),106.441 (25),115.921 (23),21.50
Local Reachability Average All-Pairs Similarity (excl source) (With Sparsity) Cross-Label Total Minimization,113.829 (15),111.223 (14),106.567 (23),116.976 (19),17.75
Local Reachability Total All-Pairs Similarity (incl source) Cross-Label Deviation Minimization,104.732 (47),98.420 (50),107.362 (18),106.045 (50),41.25
Local Reachability Total All-Pairs Similarity (incl source) Cross-Label Total Minimization,104.732 (47),98.420 (50),107.362 (18),106.045 (50),41.25
Local Reachability Total All-Pairs Similarity (incl source) (With Sparsity) Cross-Label Deviation Minimization,120.250 (2),109.631 (20),108.834 (5),123.276 (10),9.25
Local Reachability Total All-Pairs Similarity (incl source) (With Sparsity) Cross-Label Total Minimization,114.655 (13),108.476 (21),108.867 (4),123.514 (9),11.75
Local Reachability Total Counting Cross-Label Deviation Minimization,113.601 (17),104.740 (33),106.709 (22),114.028 (25),24.25
Local Reachability Total Counting Cross-Label Total Minimization,113.601 (17),104.740 (33),106.709 (22),114.028 (25),24.25
Local Reachability Total Counting (With Sparsity) Cross-Label Deviation Minimization,116.611 (11),111.581 (10),107.508 (16),122.300 (12),12.25
Local Reachability Total Counting (With Sparsity) Cross-Label Total Minimization,116.611 (11),111.581 (10),107.508 (16),122.300 (12),12.25
Local Reachability Total Direct Similarity Cross-Label Deviation Minimization,104.757 (46),97.882 (52),106.817 (21),104.894 (52),42.75
Local Reachability Total Direct Similarity Cross-Label Total Minimization,104.757 (46),97.882 (52),106.817 (21),104.894 (52),42.75
Local Reachability Total Direct Similarity (With Sparsity) Cross-Label Deviation Minimization,122.004 (1),112.972 (2),113.029 (2),123.629 (8),3.25
Local Reachability Total Direct Similarity (With Sparsity) Cross-Label Total Minimization,117.457 (8),110.739 (17),113.095 (1),124.257 (7),8.25
Local Reachability Total All-Pairs Similarity (excl source) Cross-Label Deviation Minimization,104.732 (47),98.420 (50),107.362 (18),106.045 (50),41.25
Local Reachability Total All-Pairs Similarity (excl source) Cross-Label Total Minimization,104.732 (47),98.420 (50),107.362 (18),106.045 (50),41.25
Local Reachability Total All-Pairs Similarity (excl source) (With Sparsity) Cross-Label Deviation Minimization,120.250 (2),109.631 (20),108.834 (5),123.276 (10),9.25
