,iris,wine,zoo,dermatology,hepatitis,breathalyzer,haberman,glass,tae,heartdisease,lungcancer,Avg. Rank
LCTAPSesCLDM,15.693 (4),19.973 (8),18.480 (13),30.723 (5),6.342 (25),32.891 (45),21.296 (60),17.550 (10),10.791 (19),19.170 (38),3.473 (24),22.82
LCTAPSesCLTM,15.670 (6),20.093 (6),18.495 (12),30.584 (8),6.342 (25),33.386 (36),21.317 (59),17.550 (10),10.791 (19),18.933 (42),3.473 (24),22.45
LCTAPSesWSCLDM,12.747 (28),19.408 (23),16.780 (31),24.811 (30),7.249 (18),37.016 (15),24.419 (45),16.623 (22),9.097 (51),18.259 (51),2.317 (44),32.55
LCTAPSesWSCLTM,12.600 (34),19.372 (26),16.800 (29),24.752 (33),7.253 (17),37.160 (13),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),33.82
LL+RTAPSisWSCLDM,13.037 (23),19.982 (7),15.452 (37),25.910 (25),7.670 (2),33.291 (37),27.228 (31),17.453 (11),9.931 (41),22.761 (2),2.813 (37),23.00
LL+RTCCLTM,10.373 (42),19.508 (17),16.405 (35),31.015 (2),7.617 (4),35.627 (22),29.329 (3),16.502 (24),11.628 (7),22.750 (3),3.447 (25),16.73
LL+RTCWSCLTM,6.667 (51),17.250 (42),11.162 (50),23.648 (39),7.670 (2),38.000 (8),28.321 (14),16.655 (21),10.370 (30),21.263 (24),2.930 (33),28.55
LL+RTDSWSCLTM,14.623 (18),19.960 (9),16.623 (33),29.583 (14),7.670 (2),35.671 (20),28.756 (10),20.023 (1),10.030 (38),21.978 (19),3.210 (27),17.36
LL+CTAPSisWSCLDM,12.747 (28),19.408 (23),16.780 (31),24.811 (30),7.249 (18),37.016 (15),24.419 (45),16.623 (22),9.097 (51),18.259 (51),2.317 (44),32.55
LL+CTCCLTM,15.957 (1),20.218 (3),18.381 (17),31.052 (1),6.342 (25),35.427 (25),22.374 (52),17.552 (9),10.791 (19),20.665 (31),3.473 (24),18.82
LL+CTCWSCLTM,12.623 (31),19.357 (28),16.855 (27),24.742 (34),7.253 (17),36.234 (17),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),34.00
LL+CTDSWSCLTM,12.607 (33),19.363 (27),16.785 (30),24.752 (33),7.253 (17),36.887 (16),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),34.18
LR+CTAPSisWSCLDM,12.747 (28),19.408 (23),16.780 (31),24.811 (30),7.249 (18),37.016 (15),24.419 (45),16.623 (22),9.097 (51),18.259 (51),2.317 (44),32.55
LR+CTCCLTM,15.957 (1),20.218 (3),18.381 (17),31.052 (1),6.342 (25),35.427 (25),22.374 (52),17.552 (9),10.791 (19),20.665 (31),3.473 (24),18.82
LR+CTCWSCLTM,12.623 (31),19.357 (28),16.855 (27),24.742 (34),7.253 (17),36.234 (17),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),34.00
LR+CTDSWSCLTM,12.607 (33),19.363 (27),16.785 (30),24.752 (33),7.253 (17),36.887 (16),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),34.18
LL+R+CTAPSisWSCLDM,12.747 (28),19.408 (23),16.780 (31),24.811 (30),7.249 (18),37.016 (15),24.419 (45),16.623 (22),9.097 (51),18.259 (51),2.317 (44),32.55
LL+R+CTCCLTM,15.957 (1),20.218 (3),18.381 (17),31.052 (1),6.342 (25),35.427 (25),22.374 (52),17.552 (9),10.791 (19),20.665 (31),3.473 (24),18.82
LL+R+CTCWSCLTM,12.623 (31),19.357 (28),16.855 (27),24.742 (34),7.253 (17),36.234 (17),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),34.00
LL+R+CTDSWSCLTM,12.607 (33),19.363 (27),16.785 (30),24.752 (33),7.253 (17),36.887 (16),23.899 (50),16.623 (22),9.097 (51),17.940 (53),2.317 (44),34.18
